sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,102.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,99.000000,%
Level Range,108.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,705,
9100,2.01361846923828125,
9300,2.5181732177734375,
9500,3.45038604736328125,
9700,5.70184326171875,
9900,7.17995452880859375,
10100,6.5660858154296875,
10300,9.1660919189453125,
10500,5.8792266845703125,
10700,6.72394561767578125,
10900,7.09853363037109375,
11100,5.72027587890625,
11300,6.90755462646484375,
11500,8.47502899169921875,
11700,9.49663543701171875,
11900,9.9556732177734375,
12100,11.825927734375,
12300,13.9098968505859375,
12500,18.621429443359375,
12700,20.70561981201171875,
12900,26.21732330322265625,
13100,28.586151123046875,
13300,30.0172119140625,
13500,20.74393463134765625,
13700,19.79050445556640625,
13900,16.7803955078125,
14100,13.332550048828125,
14300,12.908935546875,
14500,12.9495697021484375,
14700,12.57981109619140625,
14900,11.58252716064453125,
15100,10.10888671875,
15300,11.407501220703125,
15500,11.1514892578125,
15700,9.38739013671875,
15900,7.973480224609375,
16100,9.156341552734375,
16300,9.1761016845703125,
16500,8.56127166748046875,
16700,8.40508270263671875,
16900,8.1273345947265625,
17100,8.61676025390625,
17300,8.75632476806640625,
17500,9.2093963623046875,
17700,12.30187225341796875,
17900,13.14749908447265625,
18100,13.64797210693359375,
18300,16.53569793701171875,
18500,26.7085418701171875,
18700,19.37854766845703125,
18900,15.894317626953125,
19100,16.51638031005859375,
19300,16.04785919189453125,
19500,16.61774444580078125,
19700,17.711578369140625,
19900,20.444976806640625,
20100,20.3557586669921875,
20300,19.8628082275390625,
20500,21.22225189208984375,
20700,21.50470733642578125,
20900,23.087310791015625,
21100,22.232452392578125,
21300,21.0367889404296875,
21500,24.92903900146484375,
21700,26.6226654052734375,
21900,45.211246490478515625,
22100,48.00490570068359375,
22300,38.18334197998046875,
22500,23.8628997802734375,
22700,25.61173248291015625,
22900,20.36495208740234375,
23100,20.212432861328125,
23300,18.84249114990234375,
23500,18.23448944091796875,
23700,15.56194305419921875,
23900,14.849578857421875,
24100,15.23450469970703125,
24300,15.5732421875,
24500,16.08824920654296875,
24700,14.3242645263671875,
24900,14.5970611572265625,
25100,13.07791900634765625,
25300,13.638763427734375,
25500,13.28311920166015625,
25700,11.99355316162109375,
25900,12.153045654296875,
26100,18.1431427001953125,
26300,17.8925933837890625,
26500,24.34859466552734375,
26700,27.42215728759765625,
26900,20.0515899658203125,
27100,14.70183563232421875,
27300,11.16847991943359375,
27500,12.3740234375,
27700,12.7983856201171875,
27900,12.4295196533203125,
28100,13.60552215576171875,
28300,12.76166534423828125,
28500,11.92269134521484375,
28700,13.46717071533203125,
28900,13.65118408203125,
29100,11.63532257080078125,
29300,11.40569305419921875,
29500,13.11717987060546875,
29700,11.62331390380859375,
29900,10.3712310791015625,
30100,9.8712310791015625,
30300,10.0625457763671875,
30500,11.5726165771484375,
30700,12.18979644775390625,
30900,10.9332122802734375,
31100,11.381072998046875,
31300,9.75321197509765625,
31500,10.48699951171875,
31700,11.70101165771484375,
31900,11.1547088623046875,
32100,9.490753173828125,
32300,9.8600921630859375,
32500,9.97064208984375,
32700,8.77812957763671875,
32900,7.7101287841796875,
33100,10.026275634765625,
33300,9.49462127685546875,
33500,11.59957122802734375,
33700,10.98645782470703125,
33900,9.80474853515625,
34100,9.3022918701171875,
34300,7.30927276611328125,
34500,7.15099334716796875,
34700,9.30463409423828125,
34900,9.65094757080078125,
35100,10.56476593017578125,
35300,10.3527374267578125,
35500,10.02767181396484375,
35700,10.8399658203125,
35900,11.183624267578125,
36100,8.76580810546875,
36300,8.29569244384765625,
36500,10.1373748779296875,
36700,8.92089080810546875,
36900,10.2262420654296875,
37100,17.75414276123046875,
37300,16.9083709716796875,
37500,8.5993194580078125,
37700,6.29936981201171875,
37900,7.78949737548828125,
38100,10.05889892578125,
38300,12.021331787109375,
38500,8.98906707763671875,
38700,8.949066162109375,
38900,10.1558074951171875,
39100,10.85041046142578125,
39300,9.29615020751953125,
39500,8.45594024658203125,
39700,8.36061859130859375,
39900,26.73735809326171875,
40100,27.254638671875,
40300,7.3624725341796875,
40500,8.48297882080078125,
40700,8.31291961669921875,
40900,9.94455718994140625,
41100,10.02506256103515625,
41300,9.27434539794921875,
41500,11.46967315673828125,
41700,15.09899139404296875,
41900,13.316619873046875,
42100,13.34169769287109375,
42300,13.26885223388671875,
42500,13.1574554443359375,
42700,13.9883880615234375,
42900,15.133575439453125,
43100,17.0201263427734375,
43300,21.33866119384765625,
43500,21.33164215087890625,
43700,27.262420654296875,
43900,31.37006378173828125,
44100,43.267009735107421875,
44300,41.89661407470703125,
44500,35.13234710693359375,
44700,27.317901611328125,
44900,24.572845458984375,
45100,17.3356170654296875,
45300,15.8290252685546875,
45500,13.3571624755859375,
